,Unnamed: 0,author,year,title,Big_numbers,Small_numbers,big-small-ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
62,62,awogbemi etal,2020,Optimization of FAME.txt,6,3,0.3333333333333333,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
63,63,aydin etal,2015,Numerical analysis of solar.txt,0,3,-1.0,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
64,64,ayou etal,2013,Analysis.txt,0,3,-1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
65,65,Azad,2008,Split heat pipe heat.txt,0,5,-1.0,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
66,66,azad,2012,heat pipe heat exchanger.txt,0,9,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
67,67,baitule and sudhakar,2017,Solar powered green campus.txt,0,2,-1.0,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
68,68,Baljit etal,2020,performance study.txt,1,16,-0.8823529411764706,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
69,69,bANSAL,2009,evaporative cooling.txt,0,3,-1.0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
70,70,baral,2020,Mathematical.txt,8,1,0.7777777777777778,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
71,71,baral,2020,Thermodynamic and financial.txt,0,6,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
72,72,bardineh etal,2018,Medical.txt,0,0,,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
73,73,Barnwal etal,2008,thermal greenhouse dryer.txt,1,6,-0.7142857142857143,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
74,74,Barros etal,2013,land use.txt,3,0,1.0,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
75,75,bensebaa etal,2016,potential application for solar thermal absorber.txt,1,11,-0.8333333333333334,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
76,76,bert,2011,fuel cells.txt,12,9,0.1428571428571428,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
77,77,bhattacharyya etal,2010,adiabatic capillary tube in a transcritical CO2 system.txt,0,11,-1.0,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
78,78,Bi etal,2009,Ecological.txt,0,7,-1.0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
