,author,year,title,climate_damage_ratio,climate_conflict_ratio,climate_threat_ratio,adaptation_conflict_ratio,mitigation_damage_ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
64,Bottarelli etal,2017,tile covering.txt,0.746938776,0.166666667,0.78313253,0.75,-0.6,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
65,Zhang etal,2016,indoor air thermal.txt,0.844262295,0.517241379,0.949367089,1,-0.571428571,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
66,hui and ma,2016,Analysis of environmental.txt,-0.256410256,0.988764045,0.95412844,0.333333333,0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
67,wuetal,2018,Indoor.txt,1,0.976047904,0.333333333,0.304347826,0.090909091,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
68,Karlessi etal,2013,thermo.txt,-0.01,0.928571429,0.947194719,0.538461538,0.046153846,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
69,sahu,2017,parametric.txt,0.324840764,0.933333333,0.927125506,0.6,-0.181818182,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
70,zhou,2020,Cross.txt,-0.375,0.666666667,0.789473684,0.333333333,-0.103448276,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
71,kong,2020,Optimal.txt,0.604395604,0.972222222,0.945454545,0.076923077,0.25,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
72,zhou,2012,Research.txt,0.830508475,1,0.866666667,0.692307692,0.225806452,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
73,zishang,2012,Assessment.txt,0.508379888,0.87755102,0.828571429,0.692307692,0.64516129,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
74,alqahtani,2020,Building enve.txt,0.696202532,0.771428571,0.756097561,0.916666667,0.085714286,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
75,ikedi etal,2016,Numerical asse.txt,0.344827586,-0.142857143,0.6,-1,-0.272727273,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
76,aaditya,2012,Climate responsive.txt,0.530769231,0.882352941,0.75,0.833333333,0.375,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
77,gordeeva etal,2012,Composites.txt,0.776223776,0.971291866,0.941176471,0,0.272727273,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
78,riffat,2011,Areview.txt,0.712887439,0.333333333,0.993150685,0.428571429,-0.235294118,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
79,Mudie etal,2013,comercial kitchen.txt,0.258064516,0.964705882,0.846153846,-0.142857143,-0.428571429,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
80,jahnke etal,2013,First cycle simulations of t.txt,0.605095541,0.7,0.511111111,0.142857143,-0.448275862,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
81,gao etal,2018,Comparis.txt,0.927492447,0.908396947,0.870967742,0.578947368,0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
82,ouelhazi,2020,Parametric.txt,0.476635514,1,0.878787879,0.076923077,0.545454545,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
83,saad,2019,Numerical.txt,-0.652173913,0.764705882,0.931034483,0.75,-0.333333333,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
84,bensebaa etal,2016,potential application for solar thermal absorber.txt,-0.111111111,0.978021978,0.925233645,0.769230769,0.085714286,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
85,ferron etal,2011,custom.txt,0.585585586,0.986970684,0.555555556,0.333333333,-0.641025641,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
86,haghighi and maerefat,2014,Design.txt,0.645051195,1,0.960784314,0.75,0.290322581,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
87,alqahtani,2019,The effect.txt,0.510204082,1,0.845238095,0.824817518,0.205020921,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
88,busato etal,2013,Multisource.txt,0.804195804,0.987096774,0.912698413,-0.5,-0.288888889,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
89,chen etal,2016,Modeling.txt,0.814977974,0.824561404,0.764705882,0.714285714,0.826086957,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
90,hundt and reddy,2011,Algal biodiesel product.txt,-0.103448276,-0.06122449,0.881481481,-0.666666667,0.263157895,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
91,shang etal,2016,Hybrid hydrogen.txt,-0.085714286,0.714285714,0.962962963,0.538461538,0.052631579,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
92,ghazali,2017,Feasibilit.txt,-0.357142857,0.907692308,0.949152542,1,0.333333333,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
93,ji etal,2014,Approach of a solar buil.txt,0.930348259,0.936507937,0.933774834,0.5,0.066666667,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
94,Lee etal,2017,Cooling combinations.txt,0.906976744,0.975903614,0.971830986,0.333333333,0.555555556,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
95,Song,2020,coal dust.txt,0.291666667,0.993846154,0.176470588,0.388888889,-0.285714286,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
96,kumar etal,2019,A review status on alternativ.txt,0.136986301,0.933333333,0.4,0.777777778,0.636363636,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
97,kalogirus,2013,Building integration.txt,0.445544554,0.931034483,0.219512195,0.72972973,0.426229508,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
98,avgerinos etal,2016,Experimental stu.txt,0.614035088,0.57904007,0.703703704,0.666666667,0.340206186,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
99,Fan etal,2018,cooling load prediction.txt,0.694915254,0.857142857,0.435897436,0.769230769,-0.344827586,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
100,meng etal,2010,Multiobjective analyses.txt,0.718309859,-0.565217391,0.891891892,-1,-0.090909091,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
101,ali ahmadi,2016,Modeling solubility of carb.txt,0.132075472,0.981651376,0.904255319,1,0.161290323,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
102,nwanya,2011,Climatechange.txt,-0.048780488,0.363636364,0.923076923,0.942857143,0.533333333,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
103,Allison,2014,thermal energy storage.txt,0.668874172,0.6,0.912663755,1,0.254901961,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
104,zhu,2016,Performance.txt,0.797979798,1,0.9,,0.666666667,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
105,bottarelli,2012,Numerical.txt,0.793103448,0.945205479,0.706666667,0.333333333,-0.294117647,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
106,shao etal,2015,Wireless Energy.txt,-0.660377358,1,0.865853659,0.6,0.170731707,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
