,Unnamed: 0,author,year,title,blob,vader,afinn,blob_zscore,vader_zscore,afinn_zscore,blob_zscore_outliers,vader_zscore_outliers,afinn_zscore_outliers,co2,co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,coal_co2,cumulative_coal_co2,coal_co2_per_capita,gdp
12,12,ahmadi,2016,Thermodynamic anal.txt,0.0326713020914828,0.0939208835341365,0.0064550833781603,0.6015958334423285,1.1436933918770358,-0.7234934005522292,0.6015958334423285,1.1436933918770358,-0.7234934005522292,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
13,13,ahmadi,2020,Portfolio optimization.txt,0.0174600412834599,0.0709729919678714,-0.0118988596926127,-0.4600260986235075,0.462295964993743,-1.9772794856784164,-0.4600260986235075,0.462295964993743,-1.9772794856784164,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
14,14,ahmed,2018,Design methodology.txt,0.0150240743415667,0.0033747219413549,-0.0104788005803643,-0.6300367219333903,-1.5449162063215234,-1.8802730632367477,-0.6300367219333903,-1.5449162063215234,-1.8802730632367477,36646.14,4.802,2.01,720.402,1625014.415,14718.145,759812.726,1.929,114000000000000.0
15,15,Ajay,2009,simultaneous.txt,0.0239085656565656,0.0299993599999999,0.0126958936718904,-0.0099716954842625,-0.754344235364088,-0.2971740491180848,-0.0099716954842625,-0.754344235364088,-0.2971740491180848,31607.042,4.599,-1.44,-462.402,1307890.377,13067.147,627754.514,1.901,
16,16,akyuz,2010,Energetic.txt,0.0195545246582391,0.0558791318864775,0.0140116990885593,-0.3138482429496283,0.0141102398913243,-0.2072893569954336,-0.3138482429496283,0.0141102398913243,-0.2072893569954336,33343.3,4.793,5.49,1736.258,1341233.677,13970.832,641725.345,2.008,89800000000000.0
17,17,alamier,2020, Synthesi.txt,0.0467212785426304,0.0207637339055793,0.0218128938439166,1.5821695895428018,-1.0285799680117744,0.3256222573596128,1.5821695895428018,-1.0285799680117744,0.3256222573596128,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
18,18,alayietal,2020,Energy.txt,0.0166095822924016,0.0711972099853157,0.0088453263208223,-0.5193811993363864,0.4689537261090191,-0.5602122282164066,-0.5193811993363864,0.4689537261090191,-0.5602122282164066,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
19,19,alayietal,2020,Technical and environmental.txt,0.02867446752779,0.0956348460291734,0.0207266520360887,0.3226493815205344,1.1945865046721786,0.2514194084957294,0.3226493815205344,1.1945865046721786,0.2514194084957294,34807.259,4.465,-5.16,-1895.244,1696524.177,13976.098,788362.044,1.793,
20,20,aldali,2011,energetic.txt,0.0208926650627982,0.0550059900166388,0.0115691339997753,-0.2204569574018823,-0.0118161778666693,-0.3741447356202634,-0.2204569574018823,-0.0118161778666693,-0.3741447356202634,34468.451,4.895,3.37,1125.151,1375702.128,14781.225,656506.57,2.099,
21,21,aldali,2011,Solar absorber tube analysis.txt,0.0097653820978563,0.0198157216494845,0.0080827675396055,-0.9970505474384402,-1.0567295306890918,-0.6123037916092833,-0.9970505474384402,-1.0567295306890918,-0.6123037916092833,34468.451,4.895,3.37,1125.151,1375702.128,14781.225,656506.57,2.099,
